timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678727998482,271,S01_01_Launch,404,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-1,,false,,25194,11628,2,2,null,0,69,16
1678727998482,29,PING,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,983,761,1,1,null,0,54,16
1678727998535,26,/actuator/health/ping,200,,Thread Group 1-1,,true,,533,409,1,1,http://localhost:8080/actuator/health/ping,26,0,16
1678727998562,3,/actuator/health/ping,200,,Thread Group 1-1,text,true,,450,352,1,1,http://localhost:8080/actuator/health/ping,3,0,0
1678727998565,52,CHAIR_PRODUCT_PRICE,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-1,,true,,3190,2550,1,1,null,0,2,0
1678727998566,12,OP: product/50/price/,200,,Thread Group 1-1,,true,,533,427,1,1,http://localhost:8080/api/v1/product/50/price/,12,0,0
1678727998578,12,OP: product/51/price/,200,,Thread Group 1-1,,true,,533,427,1,1,http://localhost:8080/api/v1/product/51/price/,12,0,0
1678727998590,12,OP: product/52/price/,200,,Thread Group 1-1,,true,,533,427,1,1,http://localhost:8080/api/v1/product/52/price/,12,0,0
1678727998602,8,POST: product/51/price/,200,,Thread Group 1-1,text,true,,531,423,1,1,http://localhost:8080/api/v1/product/51/price/,7,0,0
1678727998611,4,POST: product/50/price/,200,,Thread Group 1-1,text,true,,529,423,1,1,http://localhost:8080/api/v1/product/50/price/,3,0,0
1678727998615,4,POST: product/52/price/,200,,Thread Group 1-1,text,true,,531,423,1,1,http://localhost:8080/api/v1/product/52/price/,3,0,0
1678727998619,78,STORE_RELATED_ITEMS,404,"Number of samples in transaction : 8, number of failing samples : 1",Thread Group 1-1,,false,,5859,3236,2,2,null,0,5,0
1678727998620,14,OP: category/?count=20&page=0&store=DEFAULT&lang=en,200,,Thread Group 1-1,,true,,533,443,1,1,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,14,0,0
1678727998634,17,OP: content/boxes/headerMessage/?lang=en,200,,Thread Group 1-1,,true,,533,432,1,1,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,17,0,0
1678727998652,13,OP: store/DEFAULT,200,,Thread Group 1-1,,true,,533,409,1,1,http://localhost:8080/api/v1/store/DEFAULT,13,0,0
1678727998665,14,OP: content/pages/?page=0&count=20&store=DEFAULT&lang=e,200,,Thread Group 1-1,,true,,533,448,1,1,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,14,0,0
1678727998680,4,GET: content/pages/,200,,Thread Group 1-1,text,true,,511,391,2,2,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,3,0,0
1678727998684,6,GET: store/DEFAULT,200,,Thread Group 1-1,text,true,,1163,352,2,2,http://localhost:8080/api/v1/store/DEFAULT,5,0,0
1678727998691,6,GET: content/boxes/headerMessage/,404,,Thread Group 1-1,text,false,,522,375,2,2,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,5,0,0
1678727998698,4,GET: category,200,,Thread Group 1-1,text,true,,1531,386,2,2,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,3,0,0
1678727998703,12,S01_S01_OP: product/52/price/,200,,Thread Group 1-1,,true,,533,427,2,2,http://localhost:8080/api/v1/product/52/price/,12,0,0
1678727998715,12,S01_S01_OP: product/51/price/,200,,Thread Group 1-1,,true,,533,427,2,2,http://localhost:8080/api/v1/product/51/price/,12,0,0
1678727998728,15,S01_S01_OP: product/50/price/,200,,Thread Group 1-1,,true,,533,427,2,2,http://localhost:8080/api/v1/product/50/price/,15,0,0
1678727998743,4,S01_S01_POST: product/51/price/,200,,Thread Group 1-1,text,true,,531,423,2,2,http://localhost:8080/api/v1/product/51/price/,4,0,0
1678727998748,4,S01_S01_POST: product/50/price/,200,,Thread Group 1-1,text,true,,529,423,2,2,http://localhost:8080/api/v1/product/50/price/,3,0,0
1678727998753,6,S01_S01_POST: product/52/price/,200,,Thread Group 1-1,text,true,,531,423,2,2,http://localhost:8080/api/v1/product/52/price/,4,0,0
1678727998759,16,S01_S01_OP: products/group/FEATURED_ITEM,200,,Thread Group 1-1,,true,,533,446,2,2,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=DEFAULT&lang=en,16,0,0
